izo,strata,zar_naz,ulice,misto,website,svp_pdf,svp_bing_found,svp_page
48133876,3,Základní škola,Socháňova 1139/19,Praha 6 - Řepy,www.zs-perina.cz,https://www.zs-perina.cz/soubor-svp-domino-5196-.pdf,True,https://www.zs-perina.cz/stranka-poradni-sbor-62
102255261,3,Základní škola,Komenského 163/2,Hustopeče,www.zshuskom.cz,,False,https://www.zshuskom.cz/skolni-vzdelavaci-program
45242810,3,Základní škola,Bítovská 1246/1,Praha 4 - Michle,www.zsbitovska.cz,,False,https://www.zsbitovska.cz/default/stranka?url=mise-a-vize-skoly
102101256,3,Základní škola,Filosofská 1166/3,Praha 4 - Braník,www.zsfilosofska.cz,,False,https://www.zsfilosofska.cz/
102326924,3,Základní škola,17. listopadu 1325,Mladá Boleslav,www.zspastelka.cz,,False,https://www.zspastelka.cz/
102743118,3,Základní škola,Za Alejí 1072,Uherské Hradiště,www.zszaaleji.cz,https://www.zszaaleji.cz/cardfiles/card-14869/card-14888/files/41161800126a298a29e25b91297e1c12-SVP-Montessrori-cestou-Za-Aleji-2022.pdf,True,https://www.zszaaleji.cz/
241610,3,Základní škola,Školní nám. 470,Roztoky,www.zszb.cz,,False,https://www.zszb.cz/index.php?type=Post&id=878&ids=825
102301727,3,Základní škola,Albrechtická 732/1,Praha 9 - Kbely,www.skola-kbely.cz,,False,https://www.skola-kbely.cz/
102943354,3,Základní škola,Švermova 1132/4,Žďár nad Sázavou,www.4zszdar.cz,,False,https://www.4zszdar.cz/
102508968,3,Základní škola,Kosmonautů 2217/15,Ostrava,zskosmonautu.cz,,False,
102432571,3,Základní škola,Otická 722/18,Opava,www.zsoticka.opava.cz,,False,http://www.zsoticka.opava.cz/
102553998,3,Základní škola,Zahradní 5265,Chomutov,2zscv.cz,,False,
181054205,3,Základní škola,Bratří Čapků 279,Příbram,pbzsbc.cz,,False,https://pbzsbc.cz/o-skole/dokumenty/
102401535,3,Základní škola,Pošepného náměstí 2022/2,Praha 4 - Chodov,www.zsposepneho.cz,,False,https://www.zsposepneho.cz/skola
102301573,3,Základní škola,náměstí Na Balabence 800/7,Praha 9 - Libeň,www.zsbalabenka.cz,,False,https://www.zsbalabenka.cz/kontakty-1/kontaktni-informace/
102254869,3,Základní škola,Komenského 425,Náchod,www.komenskehozsnachod.cz,https://www.komenskehozsnachod.cz/wp-content/uploads/2019/10/%C5%A0VP-verze-3-OPRAVA.pdf,True,https://www.komenskehozsnachod.cz/dokumenty-skoly/
102807477,3,Základní škola,Komenského náměstí 495,Slavkov u Brna,www.zskomslavkov.cz,,False,https://www.zskomslavkov.cz/text5/
48512681,3,Základní škola,Bakalovo nábřeží 8/8,Brno,www.bakalka.cz,https://www.bakalka.cz/sites/default/files/soubory/2024/04/svp-bakalka2023-24.pdf,True,https://www.bakalka.cz/sites/default/files/soubory/2023/04/svp-bakalka-2022-23.pdf
48133604,3,Základní škola,Trávníčkova 1744/4,Praha 5 - Stodůlky,zstravnickova.cz,,False,https://zstravnickova.cz/skola/
102454086,3,Základní škola,Žižkova 518,Turnov,www.zsturnov.cz,,False,
233773,3,Základní škola,Masarykova 878/115,Rudná,zsrudna.cz,https://www.zsrudna.cz/wp-content/uploads/2023/09/0_SVP_komplet_FINAL_podpis-RS.pdf,True,https://zsrudna.cz/wp-content/uploads/2021/08/Finalni-verze-SVP-_-1.zari-2017_Dodatek_1.pdf
102438595,3,Základní škola,Bezručova 94/19,Říčany,www.2zsricany.cz,,False,https://www.2zsricany.cz/cs/dokumenty-skoly
48133485,3,Zákaldní škola,Brdičkova 1878/2,Praha 5 - Stodůlky,www.fzsbrdickova.cz,,False,https://www.fzsbrdickova.cz/
150058161,3,Základní škola,Sadová 1756,Čáslav,www.sadovka.cz,https://www.sadovka.cz/wp-content/uploads/2024/02/SVP-SADOVAK-1_9_-2023.pdf,True,https://www.sadovka.cz/index.php/dokumenty-skoly/
102002207,3,Základní škola,Jiráskova 888,Benešov,www.zsjiraskova.cz,https://www.zsjiraskova.cz/images/seda/2022_23/dokumenty/skolni-vzdelavaci-program-2022-2023.pdf,True,https://www.zsjiraskova.cz/aktualni-skolni-rok/dokumenty-formulare
102005524,3,Základní škola,nám. Míru 128,Nový Bor,www.zsnamesti.cz,,False,https://www.zsnamesti.cz/upload/files/zp-2023-2024/zapis-10-schuzky-zp.pdf
